gender,fav_number,retweet_count,tweet_count,link_hue,link_saturation,link_value,sidebar_hue,sidebar_saturation,sidebar_value
0,5367,0,16440,195,42.9,11,210,11.1,7.1
1,1641,0,13604,204,83.3,56.5,240,50,18.8
1,4501,0,53515,24.1,68.3,47.1,228,37.7,20.8
0,992,0,99570,212.3,34.2,29.8,228,37.7,20.8
1,446,0,41114,289.8,24.1,86.3,0,0,13.3
1,11439,0,10749,351.9,30.2,96.1,260.8,72.1,26.7
0,5833,0,109487,109.9,36.3,83.1,90,10.5,14.9
0,7360,0,8889,238,94.4,49,252,12.2,16.1
1,951,0,93353,47,76.3,76.1,187.1,64.8,41.2
0,682,0,15614,208.1,82.1,91.8,0,0,16.1
0,6119,0,6949,242,100,70.2,199.5,51.2,32.9
1,301,0,443,36.5,90.2,67.8,121.1,53.3,41.2
1,22098,0,10506,146.7,60,100,178.3,67.3,60
1,4,0,7430,0,0,40,0,0,20
1,1863,0,9413,176.8,85.8,69,0,0,20
0,374,0,1475511,169.9,94.7,74.1,0,0,21.2
0,28,0,2886,240,87.2,98,0,0,21.6
1,753,0,28770,40.3,88.9,99.2,0,0,21.6
0,4416,0,4910,29.9,94.4,98.4,0,0,21.6
1,2459,0,67919,68.1,89.2,91,143.1,57.8,52.9
0,2005,0,11896,34.7,97,25.9,34.7,97,25.9
1,101,0,12479,14.2,96.4,32.5,140.8,41.5,46.3
1,10487,0,4343,192.7,56.4,85.5,330,5.7,27.5
1,6084,0,20314,180,70.5,65.1,180,40,47.1
1,10936,0,54893,307.1,83.3,87.1,272.8,100,58
1,2734,0,10447,85,87.6,56.9,0,3.6,32.9
1,2560,1,2217,228.9,17.6,60,335.1,100,34.9
0,448,0,43965,0,1.4,27.8,195,3.8,41.2
0,83,0,13390,0,100,40,0,100,40
1,20353,0,38588,36.1,60,90.2,296.6,33.3,41.2
1,20647,0,3640,353.7,87.5,59.6,0,0,41.2
1,483,0,56352,109.9,36.3,83.1,0,0,41.2
1,17534,0,24709,213,43,81.2,0,0,41.2
1,1149,0,4172,0,0,45.1,0,0,45.1
0,344,0,2153,196,100,70.6,6.9,93.8,51
0,144,0,770,0,100,60,0,0,60
0,2930,0,39033,2,92.5,63.1,0,0,0
1,1631,0,7864,52.6,40.1,63.5,0,0,0
0,28,1,80321,196,100,70.6,0,0,0
1,2130,0,110801,352.9,72.9,100,0,0,0
1,179,0,13247,350.8,10.7,47.8,0,0,0
1,538,0,8376,201,89.2,98,186,100,3.9
1,7749,0,7834,341,32.9,94.1,222.8,100,36.9
0,1245,0,83090,1.5,100,31.4,200,100,52.9
0,368,0,11081,100,75,12.5,215.1,100,100
0,103,0,85244,45.1,100,69.4,173.9,100,65.9
1,14031,0,82646,14.9,92,92.9,177,100,94.9
0,3699,0,54037,128.9,100,100,120,100,100
0,6314,0,19093,189.9,100,100,120,100,100
1,5577,0,22738,303.9,97,92.9,180,100,100
1,2799,0,26517,0,0,0,217.9,98.3,45.5
1,128,0,8787,114.4,87.6,38,123,93,16.9
0,178,0,2956,205.6,49.2,71,218.1,98.8,100
0,2111,1,44717,3.1,82.2,63.9,227.3,86.8,14.9
1,4101,0,194607,54.1,91.1,96.9,190.1,98,100
1,365,0,5090,324.1,100,72.2,183,76.9,10.2
1,286,1,51830,60,93.8,31.4,160,30,3.9
0,23890,0,164610,19.1,91,96.1,234.9,94.4,49
1,59,0,1335,245.3,92.4,67.1,137,90.2,32.2
0,431,0,3345,0,95.2,72.9,200.1,96.8,96.9
0,6291,1,112117,234.9,78.8,70.2,180,10,3.9
1,1175,0,25571,236.9,100,100,207.9,96,87.8
1,12122,0,11968,122,91.1,92.2,170,96.2,92.9
1,442,0,227389,180,65.3,87.1,300,80,3.9
1,1036,0,5591,300,6.7,5.9,0,10,3.9
