gender,fav_number,retweet_count,tweet_count,sidebar_hue,sidebar_saturation,sidebar_value,link_hue,link_saturation,link_value
0,0,0,110964,0,0,100,180,95.9,76.1
1,3115,0,26085,0,0,100,265.9,50,80
0,103,0,25773,0,0,100,352.5,79.2,86.7
1,1322,0,4965,0,0,100,330,66.7,100
0,49,0,30294,0,0,100,196,100,70.6
0,1900,0,8843,0,0,100,37.8,94.7,67.1
0,85,0,73578,0,0,100,60,7.9,34.9
0,104,0,9071,0,0,100,0,0,0
0,193,0,3874,0,0,100,204,92,78.8
0,33672,0,95732,0,0,100,0,100,60
0,6044,0,9799,0,0,100,27.8,100,60
0,3662,0,32310,0,0,100,188.9,32,66.3
0,1016,0,1647,0,0,100,196,100,70.6
0,5122,0,18553,0,0,100,194.1,80.3,93.7
1,0,0,82319,0,0,100,240,100,100
1,6482,0,90079,0,0,100,265.9,50,80
1,3322,0,19365,0,0,100,206.1,11.9,76.1
1,778,0,2990,0,0,100,0,100,100
1,826,0,19469,0,0,100,0,100,100
1,4558,0,7419,0,0,100,300,3.7,63.9
1,727,0,41717,0,0,100,242.2,98.2,87.8
0,129,0,109254,0,0,100,196,100,70.6
1,5669,0,10523,0,0,100,0,0,0
0,15,0,58701,0,0,100,240,100,100
1,10158,0,40388,0,0,100,275.2,26,94.9
0,785,0,2887,0,0,100,219.9,100,70.2
1,7034,0,41549,0,0,100,80.7,96.4,32.9
0,245,0,3963,0,0,100,0,0,0
1,12629,0,21390,0,0,100,80.7,96.4,32.9
0,111,0,60431,0,0,100,240,100,100
0,239,0,49426,0,0,100,0,100,100
1,13988,0,3602,0,0,100,196,100,70.6
0,209,0,4259,0,0,100,0,0,40
1,2980,0,1237,0,0,100,158.1,67.2,80
1,2912,0,32786,0,0,100,283.1,100,100
1,5356,0,17695,0,0,100,196,100,70.6
0,2281,0,6144,0,0,100,17.2,75.2,98
0,6245,0,55936,0,0,100,196,100,70.6
0,825,0,4449,0,0,100,271.1,44,98
0,1189,0,33927,0,0,100,265.9,50,80
1,9905,0,11773,0,0,100,351.9,30.2,96.1
1,46,0,4039,0,0,100,204.2,93.9,90.2
1,0,0,135080,0,0,100,196,100,70.6
1,99,0,75715,0,0,100,265.9,50,80
0,15775,0,39016,0,0,100,196,100,70.6
1,117,0,4796,0,0,100,183.2,76.2,47.8
1,155,0,6537,0,0,100,295.9,94.9,61.2
0,18,0,1801,0,0,100,188.9,82.1,76.9
0,85,0,53890,0,0,100,60,93.8,31.4
0,8561,0,20737,0,0,100,206.2,72.8,85.1
0,2130,0,16380,0,0,100,110.1,58.6,56.9
0,14378,0,75092,0,0,100,206.2,72.8,85.1
1,6442,0,18542,0,0,100,350,85.7,65.9
1,2536,0,40497,0,0,100,351.9,30.2,96.1
0,1669,0,5828,0,0,100,180,5.4,36.1
0,22197,0,64760,0,0,100,109.9,36.3,83.1
1,3293,0,28395,0,0,100,302.2,70.5,61.2
1,23981,0,29861,0,0,100,206,45.2,98
1,670,0,14485,0,0,100,0,100,100
1,12200,0,6709,0,0,100,351.9,30.2,96.1
1,17518,0,23820,0,0,100,265.9,50,80
1,3847,0,25793,0,0,100,0,100,100
1,398,0,2334,0,0,100,0,0,20
0,1661,0,40934,0,0,100,0,0,0
1,9050,1,22544,0,0,100,0,88.8,38.4
1,441,0,77002,0,0,100,109.9,36.3,83.1
1,22402,0,22334,0,0,100,265.9,50,80
1,6342,0,8518,0,0,100,340,75,80
1,460,0,527,0,0,100,351.9,30.2,96.1
0,20105,0,57654,0,0,100,0,0,0
1,17798,0,13945,0,0,100,326.1,27.1,100
0,11209,0,23239,0,0,100,317.1,100,70.2
1,3312,0,9422,0,0,100,196,100,70.6
0,7763,0,33664,0,0,100,196,100,70.6
1,2643,0,13447,0,0,100,196,100,70.6
1,1319,0,2221,0,0,100,0,100,100
1,165,0,6212,0,0,100,220,83.3,56.5
1,83,0,1182,0,0,100,0,100,100
0,873,0,86397,0,0,100,12,100,100
0,590,0,5122,0,0,100,196,100,70.6
1,190,0,78277,0,0,100,0,0,0
1,1259,0,20969,0,0,100,252,94.4,56.1
0,27,0,580,0,0,100,196,100,70.6
1,14186,0,71522,0,0,100,318,89.2,91
1,12,0,339,0,0,100,206.1,87.7,83.1
1,691,0,17478,0,0,100,340,75,80
1,3564,0,7038,0,0,100,196,100,70.6
1,6475,0,4422,0,0,100,195.4,30.2,91
0,29163,0,208725,0,0,100,110.1,58.6,56.9
1,1428,0,7019,0,0,100,202.3,100,59.2
1,7463,0,162128,0,0,100,1.4,50.3,68.6
1,13427,0,48283,0,0,100,134.3,87.3,83.1
0,1081,0,14187,0,0,100,73.1,58,58.8
0,89,0,21168,0,0,100,15,100,80
0,913,0,4523,0,0,100,26.9,87,96.5
1,7354,0,9042,0,0,100,351.9,30.2,96.1
0,3843,0,21989,0,0,100,190.4,100,72.5
1,175,0,36896,0,0,100,196,100,70.6
0,0,0,6247,0,0,100,195,100,80
0,2117,0,2326,0,0,100,0,0,0
1,18899,0,33642,0,0,100,265.9,50,80
1,1269,0,4449,0,0,100,196,100,70.6
0,5,0,6236,0,0,100,31.1,100,100
0,4714,0,1153,0,0,100,194.1,80.3,93.7
1,12702,0,62348,0,0,100,180,66.7,60
1,17010,0,23384,0,0,100,265.9,50,80
1,255,0,804,0,0,100,62.9,97.6,32.9
0,246,0,15294,0,0,100,237.2,80.3,93.7
0,2185,0,14625,0,0,100,0,0,0
0,1446,0,28099,0,0,100,196,100,70.6
1,937,0,1178,0,0,100,351.9,30.2,96.1
0,16667,0,23298,0,0,100,206.1,11.9,76.1
0,20516,1,64309,0,0,100,0,75.9,34.1
1,8690,0,41572,0,0,100,196,100,70.6
0,19933,0,80469,0,0,100,0,0,0
0,625,0,7545,0,0,100,206.2,72.8,85.1
0,3826,0,8308,0,0,100,196,100,70.6
1,1680,0,7225,0,0,100,206.1,11.9,76.1
0,6528,0,24027,0,0,100,184.1,21.1,82
0,995,0,8144,0,0,100,196.8,84.4,78
0,1495,0,3578,0,0,100,0,83.9,65.9
