gender,created,fav_number,tweet_count,retweet_count,tweet_location,user_timezone,link_hue,link_sat,link_vue,sidebar_hue,sidebar_sat,sidebar_vue
0,10/30/2008,9,1635317,0,0,1,0,0,0,0,0,0
0,02/25/2010,374,1475511,0,1,1,169.9,94.7,74.1,0,0,21.2
0,06/28/2009,0,1195667,0,1,1,196,100,70.6,200,19,92.9
1,11/17/2011,4,1125963,0,0,1,15.3,97.8,53.3,0,0,100
1,11/17/2011,4,1125963,0,0,1,15.3,97.8,53.3,0,0,100
1,11/17/2011,4,1125963,0,0,1,15.3,97.8,53.3,0,0,100
0,11/12/2008,42165,1111596,0,1,1,196,100,70.6,216.5,32,96.9
1,05/13/2009,66,950858,0,1,1,22.7,70.7,61.6,33.6,41.9,85.1
1,05/13/2009,66,950858,0,1,1,22.7,70.7,61.6,33.6,41.9,85.1
1,10/09/2014,0,650631,0,1,0,196,100,70.6,200,19,92.9
0,03/16/2014,33,639925,0,1,1,195,29.6,21.2,0,0,0
0,03/16/2014,33,639925,0,1,1,195,29.6,21.2,0,0,0
1,08/18/2011,214,615290,0,0,1,0,0,0,0,0,100
1,01/28/2015,0,595187,0,0,0,196,100,70.6,200,19,92.9
1,01/28/2015,0,595187,0,0,0,196,100,70.6,200,19,92.9
1,01/28/2015,0,595187,0,0,0,196,100,70.6,200,19,92.9
1,01/28/2015,0,595187,0,0,0,196,100,70.6,200,19,92.9
0,09/11/2011,1916,575793,0,1,1,196.8,84.4,78,0,0,100
0,09/11/2011,1916,575793,0,1,1,196.8,84.4,78,0,0,100
0,03/12/2012,459,566603,0,1,1,195,100,80,54.9,32.2,100
1,11/02/2013,7,555202,0,0,0,196,100,70.6,200,19,92.9
0,11/02/2014,1,553681,0,0,1,196,100,70.6,200,19,92.9
0,11/02/2014,2,553394,0,0,0,196,100,70.6,200,19,92.9
0,03/17/2009,8908,550347,1,1,1,72.3,97.5,31.4,0,0,100
1,05/26/2010,3,542373,0,1,1,0,0,0,0,0,93.3
1,07/13/2012,0,528372,0,1,0,0,100,60,0,0,87.5
0,11/30/2010,1,514175,1,1,1,206.2,72.8,85.1,0,0,100
0,11/30/2010,1,514175,1,1,1,206.2,72.8,85.1,0,0,100
0,04/05/2009,6808,508440,0,1,1,0,0,0,0,0,100
0,04/07/2012,466,506940,0,1,1,196,100,70.6,200,19,92.9
1,10/26/2008,5524,461093,0,1,1,340.1,93.9,70.6,340,75,80
0,01/10/2008,245,435759,0,1,1,80,66.7,60,0,0,0
1,12/02/2009,2685,434403,0,0,1,351.9,30.2,96.1,99.6,21.4,86.3
0,06/15/2009,15,404903,0,1,1,60,15.6,25.1,34.9,96.7,94.9
0,11/01/2013,9,397153,0,1,1,196,100,70.6,0,0,100
0,08/26/2012,8,396727,0,1,1,12,100,100,0,0,100
0,06/11/2011,4,391199,0,1,0,196,100,70.6,200,19,92.9
1,07/18/2012,0,389295,0,1,0,0,100,60,0,0,87.5
0,09/02/2014,0,380033,0,0,0,196,100,70.6,200,19,92.9
0,05/17/2009,7834,379805,0,1,1,194.1,80.3,93.7,220,20,11.8
0,07/18/2012,0,377564,0,1,0,0,100,60,0,0,87.5
1,12/12/2008,35,368367,0,1,1,175.2,95.7,45.9,0,0,100
0,05/05/2007,4989,363623,0,1,1,95.3,37,36.1,0,0,100
0,11/02/2008,568,363610,0,1,1,240,100,100,86.5,63.8,73.7
0,11/02/2008,568,363610,0,1,1,240,100,100,86.5,63.8,73.7
0,11/19/2008,342,363561,0,1,1,352.5,79.2,86.7,0,0,100
1,12/02/2015,32886,356443,0,1,1,196,100,70.6,200,19,92.9
1,12/02/2015,32886,356443,0,1,1,196,100,70.6,200,19,92.9
1,12/02/2015,32886,356443,0,1,1,196,100,70.6,200,19,92.9
0,10/07/2009,36,351567,0,1,1,0,0,0,0,0,93.3
0,04/26/2008,0,351514,0,0,1,196,100,70.6,200,19,92.9
0,09/14/2010,4955,350462,0,1,1,196,100,70.6,200,19,92.9
0,05/11/2008,5887,346824,0,1,1,236.9,92.2,100,193,20.2,71.8
0,06/27/2010,1463,346282,0,1,1,0,0,0,0,0,93.3
0,05/10/2011,102,338295,0,0,1,196,100,70.6,200,19,92.9
0,09/05/2009,2892,337719,0,1,1,206.1,11.9,76.1,0,0,100
0,08/06/2009,45005,337245,0,1,1,109.9,36.3,83.1,0,0,0
0,07/12/2009,2078,333181,0,1,1,196,100,70.6,0,0,100
0,12/29/2010,34421,331834,0,1,1,340,75,80,0,0,100
1,04/17/2009,2860,323365,0,1,1,294.9,80.2,92.9,0,0,0
1,12/31/2009,25,319137,0,1,1,356.5,94.5,86.3,47.5,9.4,99.6
1,04/06/2009,6686,318859,0,1,1,336,100,100,0,0,0
1,11/19/2009,4773,313990,0,1,1,190.4,100,72.5,0,0,100
1,03/16/2009,854,313475,0,1,1,196,100,70.6,99.6,21.4,86.3
0,06/19/2012,80,307725,0,1,0,196,100,70.6,200,19,92.9
1,05/05/2012,226550,305390,3,1,1,196,100,70.6,200,19,92.9
1,12/02/2015,31477,305112,0,0,1,196,100,70.6,200,19,92.9
1,06/26/2008,28320,302391,0,1,1,206.2,72.8,85.1,85.7,40.1,61.6
0,07/08/2012,6389,299915,0,1,1,107,90.2,16.1,0,0,100
0,07/08/2012,6389,299914,0,1,1,107,90.2,16.1,0,0,100
1,04/10/2008,1737,299254,0,1,1,206.2,72.8,85.1,0,0,0
1,03/30/2010,4302,297697,0,1,1,7,100,98,0,0,0
1,12/08/2013,15341,296222,0,1,1,196,100,70.6,200,19,92.9
1,03/29/2009,658,293053,0,1,1,272.9,100,60,0,0,100
0,10/05/2009,5791,290125,1,1,1,265.9,50,80,0,0,0
0,10/05/2009,5791,290125,0,1,1,265.9,50,80,0,0,0
1,07/21/2013,8120,289964,0,1,1,206.1,11.9,76.1,0,0,100
1,07/21/2013,8120,289964,0,1,1,206.1,11.9,76.1,0,0,100
1,07/21/2013,8120,289964,0,1,1,206.1,11.9,76.1,0,0,100
0,06/07/2012,9,287091,0,0,0,196,100,70.6,200,19,92.9
0,01/17/2009,21499,275889,0,0,1,0,0,0,0,0,100
0,01/22/2009,111,272099,0,1,1,22.7,70.7,61.6,0,0,100
0,11/11/2008,1,271479,0,1,1,190.4,100,72.5,0,0,100
0,08/17/2011,335,270065,0,0,1,225,83.1,100,85.7,40.1,61.6
0,06/12/2008,20,266677,0,1,1,226.8,90.3,81.2,0,0,100
0,07/19/2011,4371,259511,1,1,1,0,0,0,0,0,100
0,07/22/2010,220,255391,0,0,1,196,100,70.6,0,0,100
1,09/09/2014,418,254147,2,1,1,196,100,70.6,200,19,92.9
1,09/09/2014,418,254147,0,1,1,196,100,70.6,200,19,92.9
1,03/31/2009,2328,253551,0,1,1,15.3,97.8,53.3,45,1.9,82.7
1,05/20/2012,45672,253491,0,0,1,206.1,11.9,76.1,0,0,100
0,06/04/2009,1177,252108,0,1,1,0,0,0,0,0,100
1,11/27/2008,265,250557,0,0,1,196,100,70.6,200,19,92.9
0,09/10/2012,0,250062,0,0,1,196,100,70.6,200,19,92.9
0,02/04/2009,329,247249,0,1,1,0,100,83.9,0,0,0
0,01/11/2010,440,246987,0,1,1,218,100,62,0,0,0
1,02/07/2008,4,246921,0,1,1,7.3,22.6,85.1,199.2,10,98
0,02/25/2010,1064,246287,0,1,1,252,100,100,0,0,0
1,12/23/2009,4286,243043,0,1,1,28,74.2,94.1,353.9,68,96.9
1,04/10/2014,14877,242929,0,1,1,196,100,70.6,200,19,92.9
1,04/14/2009,4025,237554,0,1,1,0,0,0,0,0,0
0,11/04/2009,4424,236939,0,1,1,0,0,0,0,0,93.3
0,03/11/2008,192,236402,0,1,1,193.5,25.9,74.1,0,0,100
0,11/25/2010,0,236076,0,1,1,194.1,80.3,93.7,220,20,11.8
0,08/24/2010,11560,234939,0,1,1,0,100,100,201.5,53.7,85.5
0,02/08/2009,8,234323,0,1,1,194.1,80.3,93.7,220,20,11.8
1,03/10/2010,5198,232102,0,1,1,0,0,41.2,0,0,100
0,07/23/2009,2345,231321,0,1,1,196,100,70.6,0,0,100
0,02/17/2014,1,230797,0,1,1,196,100,70.6,200,19,92.9
0,09/28/2011,961,228962,0,1,1,206,45.2,98,0,0,0
1,11/15/2009,442,227389,0,1,1,180,65.3,87.1,300,80,3.9
0,02/07/2014,16070,227273,0,1,1,196,100,70.6,200,19,92.9
0,12/16/2009,21439,226474,0,1,1,81,95.2,32.9,0,0,93.3
0,10/16/2011,3574,225877,0,1,1,252,81.8,83.9,0,0,100
1,03/17/2011,207,225635,0,1,1,194.1,80.3,93.7,220,20,11.8
1,03/17/2011,207,225635,0,1,1,194.1,80.3,93.7,220,20,11.8
0,04/25/2009,189970,225414,0,1,1,196,100,70.6,200,19,92.9
0,02/06/2009,1682,224661,0,1,1,209.9,88.2,100,0,0,100
1,03/07/2014,15010,222464,0,1,1,196,100,70.6,200,19,92.9
1,05/29/2010,924,221641,0,1,1,180,96.6,70.2,0,0,0
0,04/11/2011,27,220212,0,1,1,109.9,36.3,83.1,0,0,0
1,05/02/2011,83245,220068,0,0,1,344.7,79.3,81.6,85.7,40.1,61.6
0,12/28/2007,3,220065,0,1,1,0,0,0,0,0,93.3
1,08/24/2010,5574,219763,0,1,1,340.1,93.9,70.6,0,0,0
1,09/10/2009,4526,219322,0,0,1,351.9,30.2,96.1,0,0,100
