gender,fav_number,tweet_count,retweet_count,sidebar_hue,sidebar_sat,sidebar_value,link_hue,link_sat,link_value,,
0,259583,33759,0,0,0,100,196,100,70.6,,
1,226550,305390,3,200,19,92.9,196,100,70.6,,
0,189970,225414,0,200,19,92.9,209.9,88.2,100,,
0,170567,94802,0,0,0,100,196,100,70.6,,
1,162967,71806,0,200,19,92.9,196,100,70.6,,
0,154539,40771,0,216.5,32,96.9,196,100,70.6,,
0,152811,129133,0,0,0,100,338.9,78.7,92.2,,
1,143737,19803,0,0,0,0,0,0,0,,
1,142892,207268,0,201.5,53.7,85.5,208.8,16.9,58,,
1,133195,102114,3,0,0,100,194.1,80.3,93.7,,
1,131840,173310,0,0,0,0,0,0,0,,
0,126805,68352,1,0,0,100,352.5,79.2,86.7,,
1,126218,30938,0,200,19,92.9,196,100,70.6,,
1,121113,100746,0,0,0,0,196.8,84.4,78,,
1,120107,44165,0,0,0,0,130,14,16.9,,
0,117604,2121,1,0,0,100,0,100,60,,
0,106416,123653,0,200,19,92.9,196,100,70.6,,
1,105774,145604,0,0,0,100,265.9,50,80,,
1,105694,159675,0,33.6,41.9,85.1,0,0,0,,
1,103043,157020,0,0,0,0,0,0,0,,
0,101642,120006,0,183.8,57.3,86.3,196,100,70.6,,
1,98888,42334,0,0,0,100,352.5,79.2,86.7,,
1,98865,78995,0,0,0,100,0,100,100,,
1,96991,68636,0,0,0,100,110.1,58.6,56.9,,
0,91404,55863,0,200,19,92.9,340,75,80,,
1,91286,31291,0,200,19,92.9,336.5,93.7,31,,
0,90967,94642,0,200,19,92.9,196,100,70.6,,
1,90747,35514,0,183.8,57.3,86.3,210,2.3,34.1,,
0,89043,43896,0,0,0,0,42.8,69.8,100,,
1,88683,155935,0,0,0,0,196,100,70.6,,
0,88393,182322,0,200,19,92.9,196,100,70.6,,
1,88300,182925,0,0,0,100,80.7,96.4,32.9,,
1,87309,77894,0,0,0,0,60,93.7,18.8,,
0,87124,72381,0,0,0,0,196,100,70.6,,
1,85855,68001,0,0,0,0,83.9,46.1,74.9,,
1,83245,220068,0,85.7,40.1,61.6,0,0,0,,
0,82143,75183,1,0,0,0,228,16.1,12.2,,
0,82107,75154,0,0,0,0,194.1,80.3,93.7,,
1,81857,129854,0,0,0,93.3,332,71.4,100,,
0,81370,94263,0,0,0,0,196,100,70.6,,
1,80478,131592,0,0,0,0,0,0,0,,
1,80094,53187,0,0,0,93.3,351.9,30.2,96.1,,
1,79601,155512,1,200,19,92.9,196,100,70.6,,
1,79585,12905,0,0,0,0,351.9,30.2,96.1,,
1,78929,8123,1,0,92.2,96.1,196,100,70.6,,
0,77809,151295,0,200,19,92.9,257.1,87.5,53.3,,
0,77345,117027,0,0,0,100,52.9,94.2,87.8,,
1,77278,47823,0,0,0,100,196,100,70.6,,
1,76715,153163,0,0,0,0,196,100,70.6,,
1,76145,67218,0,0,0,100,196,100,70.6,,
1,75973,188351,0,200,19,92.9,194.1,80.3,93.7,,
1,75953,203194,0,201.5,53.7,85.5,17.2,75.2,98,,
1,75217,118026,0,0,0,100,109.9,36.3,83.1,,
0,74365,156468,0,0,0,93.3,0,100,100,,
1,73903,47861,0,0,0,100,196,100,70.6,,
1,73410,137438,0,0,0,100,196,100,70.6,,
1,73189,53981,0,0,0,100,302.1,93.9,96.9,,
0,73095,28185,0,200,19,92.9,274.1,65.9,91,,
0,72502,175524,0,0,0,100,196,100,70.6,,
1,72064,33566,0,0,0,0,190.4,100,72.5,,
0,71624,22884,0,0,0,0,196,100,70.6,,
0,69718,39741,0,0,0,100,265.9,50,80,,
0,69619,148233,0,200,19,92.9,190.4,100,72.5,,
1,69484,100051,1,0,0,0,196,100,70.6,,
1,68213,112767,0,0,0,100,194.1,80.3,93.7,,
1,68072,9923,0,0,0,0,196,100,70.6,,
1,67612,35537,0,0,0,100,190.4,100,72.5,,
0,67474,23308,0,0,0,0,206.1,11.9,76.1,,
1,67444,117600,0,0,0,0,196,100,70.6,,
1,67152,95036,1,200,19,92.9,196,100,70.6,,
1,66733,34246,0,0,0,100,196,100,70.6,,
0,66214,11541,0,200,19,92.9,31,83.8,58,,
0,65914,29068,0,0,0,0,196,100,70.6,,
0,65743,87984,0,200,19,92.9,0,6.7,5.9,,
1,65651,82823,0,0,0,0,196,100,70.6,,
0,65496,94779,0,200,19,92.9,0,0,0,,
1,65436,59671,0,0,0,100,0,0,0,,
0,65217,26077,0,0,0,100,240,100,100,,
1,64867,115254,0,200,19,92.9,351.9,30.2,96.1,,
0,63466,50662,0,220,20,11.8,190.4,100,72.5,,
0,63319,4874,0,200,19,92.9,184,94.1,92.9,,
0,63040,73913,0,200,19,92.9,206.2,72.8,85.1,,
0,62996,117560,0,0,0,100,196,100,70.6,,
0,62989,213945,0,0,0,0,339.8,93.9,70.6,,
0,62439,40276,0,200,19,92.9,0,0,0,,
1,62176,89134,0,54.9,32.2,100,340.1,93.9,70.6,,
0,61524,61217,0,200,19,92.9,196,100,70.6,,
1,61223,61144,0,0,0,100,0,0,0,,
1,61063,31586,0,201.5,53.7,85.5,206.2,72.8,85.1,,
1,60986,8384,1,0,0,0,196,100,70.6,,
1,59812,55148,0,0,0,0,351.9,30.2,96.1,,
1,59638,37732,0,0,0,0,196,100,70.6,,
1,59547,159844,0,0,0,100,22.7,70.7,61.6,,
0,59426,18708,0,0,0,0,196,100,70.6,,
1,59003,143582,0,0,0,0,109.9,36.3,83.1,,
0,58563,85984,0,0,0,0,60,93.8,31.4,,
1,58469,39964,0,200,19,92.9,206.2,72.8,85.1,,
1,58139,42771,1,0,0,100,196,100,70.6,,
1,58006,20821,0,0,0,0,206.2,72.8,85.1,,
1,57979,17545,0,0,86.6,32.2,330,66.7,60,,
1,57689,40429,0,0,0,100,20,95.1,16.1,,
0,57415,94109,2,0,0,100,110.1,58.6,56.9,,
0,56973,133319,0,0,0,100,196,100,70.6,,
0,56263,120532,0,0,0,93.3,206.1,11.9,76.1,,
1,56054,9881,0,0,0,100,265.9,50,80,,
1,56051,71394,0,0,0,100,231.9,90.5,29,,
1,55669,51346,0,0,0,0,196,100,70.6,,
1,55476,94021,0,0,0,100,0,0,0,,
1,55318,39319,0,0,0,93.3,248.9,90.2,43.9,,
0,55294,46223,0,216.5,32,96.9,196,100,70.6,,
0,54287,37382,0,0,0,100,206,45.2,98,,
1,54100,63534,0,0,0,100,196,100,70.6,,
0,53567,25572,0,0,0,100,236.9,100,100,,
0,53563,52653,0,0,0,0,80.7,96.4,32.9,,
1,53408,42408,0,0,0,100,186.9,98.8,100,,
1,53058,41505,0,200,19,92.9,194.1,80.3,93.7,,
1,52888,18847,2,0,0,100,194.1,80.3,93.7,,
1,52438,53382,0,220,20,11.8,0,0,3.9,,
0,52335,104553,0,0,0,100,196,100,70.6,,
1,52168,50151,0,267.2,41,61.2,0,0,0,,
1,52117,66300,0,0,0,0,196,100,70.6,,
1,51837,64153,0,0,0,100,352.5,79.2,86.7,,
1,51629,113784,0,0,0,100,196,100,70.6,,
